,id,title,tags
37,884605,No Hard Feelings,comedi romanc genestupnitski on the brink of lose her childhood home maddi discov an intrigu job listing: wealthi helicopt parent look for someon to “date” their introvert 19-year-old son perci befor he leav for college. to her surpris maddi soon discov the awkward perci is no sure thing. excellentcadav jenniferlawr andrewbarthfeldman laurabenanti romant comedi bankruptci craigslist social awkward uber arrest develop late come of age helicopt parent no hard feel
38,616037,Thor: Love and Thunder,fantasi action comedi taikawait after hi retir is interrupt by gorr the god butcher a galact killer who seek the extinct of the god thor odinson enlist the help of king valkyri korg and ex-girlfriend jane foster who now wield mjolnir as the mighti thor. togeth they embark upon a harrow cosmic adventur to uncov the mysteri of the god butcher’ vengeanc and stop him befor it’ too late. marvelstudio chrishemsworth natalieportman christianbal ex girlfriend hero greek mytholog sequel superhero base on comic shadow nors mytholog aftercreditssting duringcreditssting marvel cinemat univers (mcu) hero nors god colorless child abduct thor thor: love and thunder
39,961323,Nimona,anim adventur fantasi nickbruno a knight frame for a tragic crime team with a scrappi shape-shift teen to prove hi innocence. annapurnapictur chloëgracemoretz rizahm eugeneleeyang monster knight metamorphosi lgbt shape shifter fantastiqu teenag anim scienc fantasi nimona
40,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","adventur famili fantasi andrewadamson sibl luci edmund susan and peter step through a magic wardrob and find the land of narnia. there they discov a charm onc peac kingdom that ha been plung into etern winter by the evil white witch jadis. aid by the wise and magnific lion aslan the children lead narnia into a spectacular climact battl to be free of the witch' glacial power forever. waltdisneypictur georgiehenley skandarkeyn williammoseley save the world sibl relationship witch base on novel or book self sacrific winter cupboard beaver lion fairi tale epic surreal battl base on children' book fantasi world duringcreditssting 1940 high fantasi base on young adult novel faun good versu evil the chronicl of narnia: the lion, the witch and the wardrob"
41,545611,Everything Everywhere All at Once,action adventur sciencefict danielkwan an age chines immigr is swept up in an insan adventur where she alon can save what' import to her by connect with the live she could have led in other universes. agbo michelleyeoh stephaniehsu kehuyquan mother philosophi martial art kung fu gener conflict chines woman laundromat chines east asian lead famili hot dog asian woman multivers chines immigr mother daughter relationship asian american intergener trauma intern revenu servic everyth everywher all at onc
42,555604,Guillermo del Toro's Pinocchio,anim fantasi drama music guillermodeltoro dure the rise of fascism in mussolini' itali a wooden boy brought magic to life struggl to live up to hi father' expectations. thejimhensoncompani gregorymann ewanmcgregor davidbradley itali base on novel or book fascism woodcutt music greed benito mussolini stop motion dark fantasi duringcreditssting 1940 wooden dummi pinocchio guillermo del toro' pinocchio
43,663712,Terrifier 2,horror damienleon after be resurrect by a sinist entiti art the clown return to mile counti where he must hunt down and destroy a teenag girl and her younger brother on halloween night. as the bodi count rise the sibl fight to stay aliv while uncov the true natur of art' evil intent. darkagecinema laurenlavera davidhowardthornton elliottfullam clown halloween resurrect sequel gore slasher killer killer clown duringcreditssting evil clown halloween night graphic violenc megaslash terrifi 2
44,480530,Creed II,drama stevencaplejr. between person oblig and train for hi next big fight against an oppon with tie to hi family' past adoni creed is up against the challeng of hi life. metro michaelb.jordan sylvesterstallon tessathompson sport sequel rivalri lo angel california box dedic box ring ukrain creed ii
45,507086,Jurassic World Dominion,adventur action sciencefict colintrevorrow four year after the destruct of isla nublar biosyn oper attempt to track down maisi lockwood while dr elli sattler investig a genet engin swarm of giant insects. amblinentertain chrispratt brycedallashoward lauradern giant monster dinosaur child kidnap jurass anim sanctuari shot on film jurass world dominion
46,810693,Jujutsu Kaisen 0,anim action fantasi seong-hupark yuta okkotsu is a nervou high school student who is suffer from a seriou problem—hi childhood friend rika ha turn into a curs and won't leav him alone. sinc rika is no ordinari curs hi plight is notic by satoru gojo a teacher at jujutsu high a school where fledgl exorcist learn how to combat curses. gojo convinc yuta to enrol but can he learn enough in time to confront the curs that haunt him? mappa megumiogata kanahanazawa yuichinakamura exorc supernatur horror paranorm curs tragedi base on manga spirit demon school life shounen anim jujutsu kaisen 0
47,312221,Creed,drama ryancoogl the former world heavyweight champion rocki balboa serv as a trainer and mentor to adoni johnson the son of hi late friend and former rival apollo creed. metro michaelb.jordan sylvesterstallon tessathompson underdog mexico mentor trainer sport cancer spin off underground fight motiv speaker box legaci creed
48,877269,Strange World,anim famili adventur sciencefict donhal a journey deep into an unchart and treacher land where fantast creatur await the legendari clades—a famili of explor whose differ threaten to toppl their latest and by far most crucial mission. waltdisneypictur jakegyllenha dennisquaid jaboukieyoung monster harmoni farmer explor lgbt teen altern world strang world
49,877703,Teen Wolf: The Movie,action fantasi tvmovi russellmulcahi the wolv are howl onc again as a terrifi ancient evil emerg in beacon hills. scott mccall no longer a teenag yet still an alpha must gather new alli and reunit trust friend to fight back against thi power and deadli enemy. mtventertainmentstudio tylerposey crystalre hollandroden sequel werewolf supernatur creatur base on movi banshe northern california base on tv seri 2020 teen wolf: the movi
50,760741,Beast,thriller michaelpearc a recent widow man and hi two teenag daughter travel to a game reserv in south africa. howev their journey of heal soon turn into a fight for surviv when a bloodthirsti lion start to stalk them. rvkstudio idriselba leahsavajeffri iyanahalley wild anim beast
51,768362,Missing,drama mysteri thriller costa-gavra when her mother disappear while on vacat in colombia with her new boyfriend june’ search for answer is hinder by intern red tape. stuck thousand of mile away in lo angel june creativ use all the latest technolog at her fingertip to tri and find her befor it’ too late. but as she dig deeper her digit sleuth rais more question than answers... and when june unravel secret about her mom she discov that she never realli knew her at all. stage6film stormreid joaquimdealmeida kenleung fbi detect stori sequel teenag girl lo angel california miss person found footag amateur sleuth mother daughter relationship screenlif independ film colombia low budget miss
52,897192,Diary of a Wimpy Kid: Rodrick Rules,anim comedi famili davidbow a new school year hi brother rodrick teas him over and over and over and over again. will greg manag to get along with him? or will a secret ruin everything? waltdisneypictur bradynoon hunterdillon ethanwilliamchildress base on novel or book sequel diari of a wimpi kid: rodrick rule
53,610150,Dragon Ball Super: Super Hero,anim sciencefict action tetsurokodama the red ribbon armi an evil organ that wa onc destroy by goku in the past ha been reform by a group of peopl who have creat new and mightier android gamma 1 and gamma 2 and seek vengeanc against goku and hi family. toeianim masakonozawa toshiofurukawa yukominaguchi android sequel attack base on manga fight aftercreditssting duringcreditssting anim dragon ball super: super hero
54,718930,Bullet Train,action comedi thriller davidleitch unlucki assassin ladybug is determin to do hi job peac after one too mani gig gone off the rails. fate howev may have other plan as ladybug' latest mission put him on a collis cours with lethal adversari from around the globe—al with connect yet conflict objectives—on the world' fastest train. 87northproduct bradpitt joeyk aarontaylor japan assassin base on novel or book mission train luck deadli snake duringcreditssting one locat shot on film bullet train
55,76600,Avatar: The Way of Water,sciencefict adventur action jamescameron set more than a decad after the event of the first film learn the stori of the sulli famili (jake neytiri and their kids) the troubl that follow them the length they go to keep each other safe the battl they fight to stay aliv and the tragedi they endure. 20thcenturystudio samworthington zoesaldaña sigourneyweav loss of love one die and death alien life form resurrect sequel dysfunct famili alien planet distant futur adopt child rebirth famili dynam adopt son stronger villain war avatar: the way of water
56,675353,Sonic the Hedgehog 2,action adventur famili comedi jefffowl after settl in green hill sonic is eager to prove he ha what it take to be a true hero. hi test come when dr. robotnik return thi time with a new partner knuckl in search for an emerald that ha the power to destroy civilizations. sonic team up with hi own sidekick tail and togeth they embark on a globe-trot journey to find the emerald befor it fall into the wrong hands. originalfilm jamesmarsden benschwartz tikasumpt sequel base on video game duringcreditssting hedgehog live action and anim sonic the hedgehog 2
57,361743,Top Gun: Maverick,action drama josephkosinski after more than thirti year of servic as one of the navy’ top aviat and dodg the advanc in rank that would ground him pete “maverick” mitchel find himself train a detach of top gun graduat for a special mission the like of which no live pilot ha ever seen. skydanc tomcruis milestel jenniferconnelli fighter pilot u.s. navi sequel nuclear weapon militari top gun: maverick
58,740441,Unlocked,thriller mysteri michaelapt a woman’ life is turn upside-down when a danger man get a hold of her lost cell phone and use it to track her everi move. studion chunwoo hee yimsi base on novel or book stalker remak serial killer hack cell phone phone smart phone father daughter relationship lost phone hack unlock
59,19995,Avatar,action adventur fantasi sciencefict jamescameron in the 22nd centuri a parapleg marin is dispatch to the moon pandora on a uniqu mission but becom torn between follow order and protect an alien civilization. duneentertain samworthington zoesaldaña stephenlang cultur clash futur space war space coloni societi space travel futurist romanc space alien tribe alien planet marin soldier battl love affair natur anti war power relat mind and soul avatar
60,338958,Disenchanted,comedi famili fantasi adamshankman disillus with life in the citi feel out of place in suburbia and frustrat that her happili ever after hasn’t been so easi to find gisel turn to the magic of andalasia for help. accident transform the entir town into a real-lif fairi tale and place her family’ futur happi in jeopardi she must race against time to revers the spell and determin what happili ever after truli mean to her and her family. waltdisneypictur amyadam patrickdempsey mayarudolph magic fairi tale music wish princess sequel stream disench
61,916224,Suzume,anim drama adventur fantasi makotoshinkai suzum 17 lost her mother as a littl girl. on her way to school she meet a mysteri young man. but her curios unleash a calam that endang the entir popul of japan and so suzum embark on a journey to set thing right. comixwavefilm nanokahara hokutomatsumura erifukatsu door natur disast teenag girl supernatur creatur anim suzum
62,568124,Encanto,anim comedi famili fantasi jaredbush the tale of an extraordinari famili the madrig who live hidden in the mountain of colombia in a magic hous in a vibrant town in a wondrou charm place call an encanto. the magic of the encanto ha bless everi child in the family—everi child except one mirabel. but when she discov that the magic surround the encanto is in danger mirabel decid that she the onli ordinari madrig might just be her except family' last hope. waltdisneypictur stephaniebeatriz maríaceciliabotero johnleguizamo sad immigr magic strong woman beauti music big famili forest supernatur famili secret flamenco famili relationship teenag girl femal protagonist joy of life famili conflict help children matriarch colombia encanto
63,298618,The Flash,action adventur sciencefict andymuschietti when hi attempt to save hi famili inadvert alter the futur barri allen becom trap in a realiti in which gener zod ha return and there are no super hero to turn to. in order to save the world that he is in and return to the futur that he know barry' onli hope is to race for hi life. but will make the ultim sacrific be enough to reset the universe? warnerbros.pictur ezramil sashacal michaelkeaton hero secret ident superhero base on comic superhuman super power aftercreditssting butterfli effect dc extend univers (dceu) superhuman abil loss of mother the flash
64,673593,Mean Girls,comedi markwat new student cadi heron is welcom into the top of the social food chain by the elit group of popular girl call ‘the plastics’ rule by the conniv queen bee regina georg and her minion gretchen and karen. howev when cadi make the major misstep of fall for regina’ ex-boyfriend aaron samuel she find herself prey in regina’ crosshairs. as cadi set to take down the group’ apex predat with the help of her outcast friend jani and damian she must learn how to stay true to herself while navig the most cutthroat jungl of all: high school. littlestrang angourieric reneérapp auli'icravalho high school music femal friendship bulli base on play or music teenag girl homeschool cliqu teen drama teenag life segreg teen romanc high school romanc mean girl
65,324786,Hacksaw Ridge,drama histori war melgibson wwii american armi medic desmond t. doss who serv dure the battl of okinawa refus to kill peopl and becom the first conscienti objector in american histori to receiv the congression medal of honor. permutpresent andrewgarfield samworthington vincevaughn japan world war ii violent father pacif bibl biographi okinawa conscienti objector base on true stori gore religion soldier alcohol war hero medic us militari battl of okinawa congression medal of honor hacksaw ridg
66,703451,Your Place or Mine,romanc comedi alinebroshmckenna when best friend and total opposit debbi and peter swap home for a week they get a peek into each other' live that could open the door to love. hellosunshin reesewitherspoon ashtonkutch jessewilliam romant comedi big citi friend in love hous swap best friend in love with best friend your place or mine
67,536437,Hypnotic,mysteri thriller action sciencefict robertrodriguez a detect becom entangl in a mysteri involv hi miss daughter and a secret govern program while investig a string of reality-bend crimes. studio8 benaffleck alicebraga j.d.pardo hypnot miss daughter hypnot
68,438148,Minions: The Rise of Gru,anim comedi famili kylebalda a fanboy of a supervillain supergroup known as the viciou 6 gru hatch a plan to becom evil enough to join them with the backup of hi follow the minions. universalpictur pierrecoffin stevecarel russellbrand 1970 duringcreditssting minion gentleminion minions: the rise of gru
69,766507,Prey,thriller action sciencefict dantrachtenberg when danger threaten her camp the fierc and highli skill comanch warrior naru set out to protect her people. but the prey she stalk turn out to be a highli evolv alien predat with a technic advanc arsenal. 20thcenturystudio ambermidthund dakotabeav michellethrush hunter alien life form prequel alien nativ american bear decapit dog sever foot bear attack comanch human vs alien indigen peopl sever arm dog hero 1700 great plain prey
70,436270,Black Adam,action adventur sciencefict jaumecollet-serra nearli 5000 year after he wa bestow with the almighti power of the egyptian gods—and imprison just as quickly—black adam is freed from hi earthli tomb readi to unleash hi uniqu form of justic on the modern world. newlinecinema dwaynejohnson aldishodg noahcentineo lightn anti hero superhero base on comic demon superhero team duringcreditssting dc extend univers (dceu) black adam
